Price,bedrooms,bathrooms,nearestStation,location.latitude,location.longitude,latitude_deviation,longitude_deviation,tenure.tenureType,feature__1 bedroom,feature__2 bedrooms,feature__2 double bedrooms,feature__allocated parking,feature__allocated parking space,feature__balcony,feature__bathroom,feature__chain free,feature__close to local amenities,feature__communal garden,feature__communal gardens,feature__double bedroom,feature__double glazed,feature__double glazing,feature__epc rating c,feature__epc rating d,feature__excellent location,feature__excellent transport links,feature__family bathroom,feature__first floor,feature__fitted kitchen,feature__garage,feature__garden,feature__gas central heating,feature__great location,feature__ground floor,feature__kitchen,feature__leasehold,feature__long lease,feature__modern bathroom,feature__modern kitchen,feature__no chain,feature__no onward chain,feature__off street parking,feature__one bedroom,feature__one double bedroom,feature__parking,feature__private balcony,feature__private garden,feature__private rear garden,feature__reception room,feature__separate kitchen,feature__share of freehold,feature__three bedrooms,feature__three double bedrooms,feature__top floor,feature__two bathrooms,feature__two bedrooms,feature__two double bedrooms,feature__two reception rooms,feature__2__garden,feature__2__central heating,feature__2__parking,feature__2__off road,feature__2__shower,feature__2__cavity wall insulation,feature__2__wall insulation,feature__2__insulation,feature__2__insulat,feature__2__dining room,feature__2__garage,feature__2__en-suite,feature__2__en suite,feature__2__penthouse,feature__2__balcony,feature__2__double-glazing,feature__2__double glazing,feature__2__off-road parking,feature__2__security,feature__2__patio,feature__2__underfloor heating,feature__2__marble
349950.0,2.0,2.0,0.21273414533680693,51.4708,-0.36182,0.028920000000006496,0.25739999999999996,LEASEHOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0
450000.0,1.0,1.0,0.4468016182188007,51.527199,-0.202898,0.027478999999999587,0.098478,LEASEHOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
490000.0,2.0,2.0,0.21503987682004597,51.501114,0.026315,0.0013939999999976749,0.130735,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200000.0,2.0,1.0,0.6505623506093052,51.39804,-0.076812,0.10168000000000177,0.027607999999999994,LEASEHOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
220000.0,1.0,1.0,0.9459907117581822,51.539383,-0.382239,0.03966299999999734,0.277819,LEASEHOLD,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
489995.0,1.0,1.0,0.08708110610863895,51.53262,-0.10786,0.03289999999999793,0.0034399999999999986,LEASEHOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
284950.0,1.0,1.0,0.8065970332039628,51.47989,-0.0785,0.01983000000000601,0.02592,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
450000.0,2.0,1.0,0.7752030182357124,51.658287,-0.207902,0.1585669999999979,0.103482,FREEHOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
332000.0,2.0,1.0,0.3192257195725066,51.6123,-0.11986,0.11257999999999413,0.015439999999999995,SHARE_OF_FREEHOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
365000.0,2.0,1.0,0.26072226699444173,51.593595,0.022046,0.09387499999999704,0.126466,SHARE_OF_FREEHOLD,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
